Symbol,Price,Trend_Pass,MA50,MA150,MA200,Pct_Above_52w_Low,Pct_Below_52w_High,Is_VCP,VCP_Quality,Num_Contractions,Final_Contraction,Volume_Dry_Up,Vol_Ratio,Pivot_Price
AVB,173.9,False,170.18,175.93,179.26,9.3,14.9,False,Filtered (trend template failed),6,1.74,True,0.82,161.85
AVY,173.53,False,179.08,175.25,174.4,11.3,11.7,False,Filtered (trend template failed),6,3.24,True,0.88,175.31
AXON,403.0,False,459.5,571.53,619.25,16.5,53.7,False,Fail,6,31.96,False,0.95,508.41
BKR,59.72,False,60.94,52.65,50.16,72.1,8.5,False,Filtered (trend template failed),6,4.96,False,0.97,63.42
BALL,65.17,True,63.1,54.78,54.75,41.4,3.5,True,A (3-step valid VCP),6,1.84,True,0.86,63.6
BAC,54.4,False,50.54,51.84,50.7,50.7,4.4,False,Filtered (trend template failed),6,3.65,True,0.8,48.75
BAX,18.98,False,18.56,19.78,21.25,20.1,39.7,False,Filtered (trend template failed),6,1.07,True,0.73,16.8
BDX,159.51,False,164.51,154.93,152.13,25.7,13.4,False,Filtered (trend template failed),6,1.83,True,0.86,157.09
BRK-B,478.63,False,488.33,493.08,490.19,4.3,11.3,False,Filtered (trend template failed),6,0.59,True,0.82,485.2
BBY,65.06,False,63.67,69.38,69.09,15.2,20.3,False,Fail,6,5.7,True,0.79,64.53
TECH,59.29,False,56.06,59.26,57.88,27.6,16.8,False,Filtered (trend template failed),6,3.32,True,0.73,52.7
BIIB,177.35,False,186.07,171.04,161.73,53.8,11.8,False,Filtered (trend template failed),6,3.85,False,1.12,179.9
BLK,1063.95,False,1011.87,1066.47,1074.22,27.2,10.6,False,Filtered (trend template failed),6,4.84,False,0.92,981.35
BX,131.35,False,117.44,141.48,147.44,28.6,28.9,False,Filtered (trend template failed),6,2.39,True,0.74,114.99
XYZ,71.46,False,59.52,65.79,68.06,53.6,11.9,False,Fail,6,8.48,True,0.63,61.17
BK,136.73,True,120.43,114.79,110.97,87.4,0.0,True,B (2-step valid VCP),6,2.82,True,0.76,117.99
BA,226.54,False,219.89,216.44,219.41,44.8,10.2,False,Fail,6,5.21,False,0.91,199.61
BKNG,191.56,False,171.95,195.4,202.24,24.0,17.2,False,Fail,6,8.56,True,0.72,181.0
BSX,64.46,False,69.95,87.92,92.16,5.2,40.4,False,Filtered (trend template failed),6,12.67,False,1.25,70.17
BMY,60.12,True,59.38,52.03,50.38,44.3,2.6,True,B (2-step valid VCP),6,5.61,True,0.82,59.47
AVGO,403.67,False,332.94,343.95,332.05,144.8,1.9,False,Fail,6,9.02,True,0.9,322.51
BR,161.37,False,172.37,206.83,217.05,6.8,38.7,False,Fail,6,7.54,False,1.05,163.44
BRO,68.32,False,68.42,78.1,83.07,7.7,42.1,False,Filtered (trend template failed),6,3.96,True,0.72,67.76
BF-B,28.81,False,27.06,27.26,27.64,26.4,17.5,False,Fail,6,23.46,False,1.29,30.31
BLDR,90.3,False,95.83,109.04,115.4,14.5,39.5,False,Filtered (trend template failed),6,4.13,False,0.92,82.33
BG,118.44,False,122.07,102.88,96.82,65.8,8.5,False,Fail,6,6.2,False,1.49,129.42
BXP,58.37,False,55.41,64.45,65.06,15.0,23.6,False,Filtered (trend template failed),6,3.25,True,0.69,52.44
CHRW,186.3,True,176.74,160.36,148.3,116.9,6.8,True,B (2-step valid VCP),6,5.18,True,0.78,172.42
CDNS,311.14,False,290.33,314.43,321.23,23.7,16.7,False,Fail,6,8.23,False,1.0,289.5
CPT,102.63,False,102.88,103.3,104.26,7.4,11.6,False,Fail,6,12.05,False,0.92,102.27
CPB,21.17,False,23.66,27.07,27.99,5.9,40.8,False,Fail,6,9.17,False,1.05,22.02
COF,209.92,False,194.14,214.08,214.47,32.9,18.3,False,Filtered (trend template failed),6,1.82,True,0.84,184.5
CAH,212.66,False,217.22,197.39,186.48,64.0,7.3,False,Filtered (trend template failed),6,2.37,False,0.93,215.8
CCL,29.79,False,28.17,28.51,28.88,73.6,12.0,False,Fail,6,5.19,False,0.91,28.03
CARR,62.25,False,60.42,57.59,60.5,24.1,22.3,False,Filtered (trend template failed),6,2.57,True,0.74,64.66
CVNA,395.61,False,331.72,369.63,365.49,102.0,17.3,False,Filtered (trend template failed),6,5.76,True,0.85,308.56
CASY,748.33,True,692.68,606.61,583.59,74.2,1.4,False,Fail,6,3.13,True,0.9,758.76
CAT,796.54,True,733.65,618.82,568.22,182.2,0.0,True,B (2-step valid VCP),6,7.18,True,0.81,730.32
CBOE,301.42,True,288.64,263.34,257.55,43.3,2.6,False,Fail,6,6.79,False,0.94,292.89
CBRE,152.01,False,142.56,154.29,154.01,31.5,11.4,False,Filtered (trend template failed),6,2.93,True,0.75,135.75
CDW,133.97,False,124.77,137.82,145.73,18.1,28.6,False,Filtered (trend template failed),6,3.06,True,0.88,121.9
COR,321.61,False,342.46,338.41,326.76,16.4,14.0,False,Fail,6,16.83,False,1.13,324.93
CNC,38.72,False,38.32,38.49,36.08,53.6,38.5,False,Fail,6,0.77,True,0.63,37.55
CNP,42.75,False,42.75,39.98,39.25,22.3,3.1,False,Fail,6,5.39,False,1.1,44.13
CF,111.96,False,113.99,93.56,92.22,54.6,18.6,False,Fail,6,6.99,False,1.26,133.78
CRL,183.0,False,169.16,180.02,175.2,78.2,19.3,False,Filtered (trend template failed),6,3.82,False,0.96,174.9
SCHW,92.56,False,95.18,95.8,95.48,25.0,13.4,False,Filtered (trend template failed),6,6.44,True,0.84,95.68
CHTR,240.69,False,225.7,225.09,246.08,31.7,43.7,False,Filtered (trend template failed),6,3.68,False,0.93,223.8
CVX,180.37,False,191.59,166.55,162.4,40.9,14.6,False,Fail,6,6.51,False,1.28,201.54
CMG,36.21,False,35.15,36.63,39.02,21.5,37.8,False,Fail,6,10.32,False,1.07,34.41
CB,330.98,False,328.79,304.75,297.02,24.8,3.2,False,Filtered (trend template failed),6,2.16,True,0.81,332.94
CHD,96.96,False,98.25,90.53,91.42,19.3,7.9,False,Fail,6,2.26,False,0.95,96.16
CIEN,498.85,True,373.42,256.78,215.75,762.5,0.0,False,Fail,6,5.81,True,0.81,496.02
CI,278.36,False,275.63,277.46,281.02,15.2,16.4,False,Filtered (trend template failed),6,5.15,False,1.26,278.45
CINF,166.1,True,162.3,160.41,157.39,33.0,3.2,True,B (2-step valid VCP),6,7.19,False,1.19,163.95
CTAS,179.66,False,187.72,189.33,195.8,8.4,20.6,False,Filtered (trend template failed),6,18.98,False,1.26,204.53
CSCO,85.57,True,79.74,75.3,73.26,61.0,0.9,True,B (2-step valid VCP),6,6.23,False,1.01,83.7
C,133.1,True,114.85,108.87,104.64,119.9,0.0,True,B (2-step valid VCP),6,6.3,False,1.14,114.48
CFG,65.29,True,61.62,57.21,54.94,96.2,4.1,True,B (2-step valid VCP),6,3.32,True,0.74,64.97
CLX,105.79,False,113.08,110.44,113.09,9.8,23.3,False,Fail,6,20.46,False,1.08,107.62
CME,285.4,False,302.96,277.77,274.64,13.8,10.5,False,Filtered (trend template failed),6,4.92,False,1.27,310.58
CMS,77.1,False,76.69,73.14,72.52,15.0,3.6,False,Fail,6,4.94,False,0.98,79.94
KO,76.0,False,77.28,71.77,70.81,17.3,6.2,False,Filtered (trend template failed),6,4.05,False,1.0,78.18
CTSH,61.14,False,63.49,71.41,71.64,5.6,29.1,False,Fail,6,7.39,True,0.66,62.54
COHR,336.07,True,257.35,189.45,166.58,544.8,0.0,True,"C (Structure valid, needs tightening)",6,20.29,False,1.69,275.57
COIN,211.07,False,180.29,249.99,273.08,49.6,49.7,False,Filtered (trend template failed),6,4.18,True,0.69,175.18
CL,86.25,False,90.18,83.11,83.6,15.7,13.0,False,Fail,6,3.03,False,1.0,86.04
CMCSA,29.7,False,29.77,27.91,28.61,22.6,8.9,False,Fail,6,3.18,True,0.88,28.31
FIX,1635.76,True,1414.48,1102.13,989.1,399.9,0.9,True,"C (Structure valid, needs tightening)",6,13.43,False,0.91,1650.48
CAG,14.9,False,17.11,17.27,17.56,5.7,37.1,False,Fail,6,21.25,False,1.04,15.78
COP,113.7,False,119.13,100.95,98.86,37.9,15.0,False,Fail,6,4.05,False,1.14,131.77
ED,108.88,False,111.7,103.06,102.02,15.8,5.7,False,Filtered (trend template failed),6,5.5,False,1.01,115.43
STZ,164.62,False,155.52,144.93,149.37,29.8,14.1,False,Filtered (trend template failed),6,1.76,True,0.82,166.15
CEG,293.89,False,296.85,329.64,327.23,53.4,27.1,False,Fail,6,10.13,False,0.96,303.32
COO,70.65,False,75.88,75.59,74.63,9.8,16.3,False,Filtered (trend template failed),6,3.12,True,0.8,71.73
CPRT,33.35,False,35.37,39.6,41.55,2.8,47.8,False,Filtered (trend template failed),6,1.92,True,0.73,33.4
GLW,164.27,True,141.72,105.36,94.39,309.7,6.2,True,"C (Structure valid, needs tightening)",6,12.16,False,0.94,175.17
CPAY,339.8,False,318.88,304.95,309.51,33.3,4.7,False,Filtered (trend template failed),6,3.03,True,0.69,293.83
CTVA,79.86,False,79.18,70.73,71.21,36.4,6.6,False,Filtered (trend template failed),6,3.4,False,1.26,85.46
CSGP,39.77,False,44.03,61.97,68.75,9.0,58.9,False,Fail,6,17.56,False,0.96,44.25
COST,988.75,False,994.67,943.83,947.46,16.5,6.1,False,Fail,6,5.55,False,1.08,1032.03
CTRA,29.78,False,32.21,27.47,26.52,36.3,18.0,False,Filtered (trend template failed),6,6.58,False,0.97,34.91
CRH,119.57,False,112.97,117.14,113.7,45.6,8.7,False,Filtered (trend template failed),6,4.49,False,1.0,117.89
CRWD,420.9,False,405.28,463.17,459.62,20.2,24.5,False,Filtered (trend template failed),6,11.13,False,1.45,426.51
CCI,88.67,False,85.19,87.9,90.75,15.2,19.4,False,Filtered (trend template failed),6,12.48,False,0.94,87.08
CSX,43.59,True,41.02,37.35,36.5,61.8,0.0,False,Fail,6,5.31,False,1.12,40.31
CMI,622.81,True,570.46,511.35,476.29,131.4,0.0,False,Fail,6,7.76,False,0.94,618.28
CVS,77.39,False,76.05,77.08,74.21,33.9,7.7,False,Fail,6,3.74,True,0.77,79.33
DHR,195.15,False,199.09,211.77,208.9,8.1,19.2,False,Filtered (trend template failed),6,3.35,True,0.73,198.61
DRI,202.08,False,203.03,191.6,194.47,21.2,7.8,False,Fail,6,3.02,True,0.74,195.07
DDOG,124.0,False,119.38,138.89,138.59,39.5,37.9,False,Filtered (trend template failed),6,12.45,True,0.86,120.36
DVA,147.4,False,150.03,130.31,132.41,41.9,6.0,False,Filtered (trend template failed),6,7.13,True,0.87,151.56
DECK,112.31,False,108.08,101.78,103.42,41.2,13.2,False,Fail,6,1.79,True,0.66,109.77
DE,590.6,False,593.52,515.12,509.91,35.5,10.6,False,Filtered (trend template failed),6,4.72,True,0.79,618.0
DELL,195.83,True,151.54,139.8,136.9,142.1,0.0,False,Fail,6,10.8,False,1.22,184.01
DAL,73.82,True,66.7,64.43,62.45,89.3,1.8,True,A (3-step valid VCP),6,1.51,False,0.98,68.08
DVN,42.55,False,46.09,38.89,37.47,49.0,18.3,False,Filtered (trend template failed),6,6.68,False,1.16,49.95
DXCM,62.69,False,67.48,67.11,70.62,14.3,30.0,False,Fail,6,8.51,False,0.93,65.8
FANG,173.4,False,181.43,158.34,153.81,37.5,14.2,False,Fail,6,4.7,False,1.11,189.1
DLR,202.76,True,179.61,168.17,167.84,42.6,0.0,False,Fail,6,4.39,False,0.95,181.25
DG,125.7,False,135.31,123.38,119.87,47.7,19.2,False,Fail,6,6.98,False,0.98,124.42
DLTR,104.71,False,114.79,112.04,111.54,43.0,25.9,False,Filtered (trend template failed),6,10.39,False,1.13,111.09
D,62.54,False,62.72,60.33,59.6,25.7,5.0,False,Filtered (trend template failed),6,6.37,False,0.94,64.23
DPZ,371.76,False,382.17,403.16,415.72,6.8,24.0,False,Filtered (trend template failed),6,3.89,True,0.77,380.77
DASH,186.18,False,167.02,211.12,220.27,27.0,33.9,False,Filtered (trend template failed),6,5.05,True,0.7,160.69
DOV,220.94,True,217.61,195.97,192.1,41.3,5.1,True,B (2-step valid VCP),6,5.92,True,0.78,219.24
DOW,35.24,False,35.44,27.56,26.74,75.9,15.8,False,Fail,6,9.15,False,1.25,40.11
DHI,151.54,False,148.53,152.05,152.42,30.8,17.2,False,Filtered (trend template failed),6,4.53,False,1.04,138.82
DTE,145.86,False,145.1,137.42,136.48,15.2,3.4,False,Fail,6,5.2,False,1.11,150.98
DUK,126.89,False,129.08,122.92,121.82,16.8,4.9,False,Fail,6,4.98,False,1.15,133.0
DD,47.83,True,47.11,41.04,38.48,96.9,6.8,False,Fail,6,4.55,True,0.82,47.85
ETN,407.07,False,371.14,357.84,358.27,58.8,0.0,False,Filtered (trend template failed),6,8.39,False,0.98,403.36
EBAY,104.62,True,90.46,88.83,88.43,62.0,0.0,False,Fail,6,2.36,True,0.8,97.71
SATS,134.6,True,115.4,97.92,83.04,741.8,0.0,True,B (2-step valid VCP),6,6.68,False,1.03,128.68
ECL,277.36,False,281.46,272.35,271.84,21.0,9.8,False,Filtered (trend template failed),6,2.7,True,0.69,275.2
EIX,70.29,False,70.98,61.31,58.84,54.1,7.3,False,Filtered (trend template failed),6,4.41,False,1.27,75.82
EW,81.11,False,81.29,81.48,80.81,17.2,7.0,False,Fail,6,4.7,False,1.01,81.71
EA,203.67,True,201.3,199.71,190.26,44.1,0.5,False,Fail,6,0.96,True,0.72,204.16
ELV,322.3,False,308.59,327.84,321.6,19.3,24.3,False,Filtered (trend template failed),6,3.82,True,0.8,318.23
EME,813.35,True,760.1,689.6,667.25,124.7,0.1,True,B (2-step valid VCP),6,1.2,True,0.81,813.77
EMR,145.48,True,141.2,137.12,136.88,53.4,9.7,False,Fail,6,5.78,False,0.91,144.67
ETR,115.25,True,106.79,97.82,94.86,47.1,1.9,False,Fail,6,5.91,False,1.03,117.44
EOG,125.9,False,130.33,114.63,115.09,25.8,15.4,False,Fail,6,6.32,False,1.06,143.12
EPAM,130.99,False,142.61,169.35,168.63,7.0,40.8,False,Fail,6,11.25,False,1.07,137.99
EQT,57.4,False,60.9,56.84,55.81,21.8,15.5,False,Fail,6,16.52,True,0.86,67.93
EFX,195.37,False,189.67,210.61,219.92,15.3,29.7,False,Fail,6,9.51,False,1.06,187.32
EQIX,1088.87,True,965.34,842.32,823.6,50.8,0.0,True,B (2-step valid VCP),6,2.57,False,1.2,984.46
EQR,62.54,False,60.97,60.69,61.34,9.2,8.9,False,Fail,6,9.58,True,0.9,63.35
ERIE,246.16,False,256.91,281.74,297.93,4.9,39.1,False,Fail,6,4.51,False,1.52,261.29
ESS,254.48,False,249.38,252.05,254.77,7.4,10.3,False,Filtered (trend template failed),6,7.21,False,1.04,251.9
EL,77.05,False,89.48,95.98,94.17,48.6,35.4,False,Fail,6,24.38,False,1.32,71.77
EG,349.98,False,329.99,329.38,330.69,15.5,3.5,False,Filtered (trend template failed),6,1.96,False,0.9,324.3
EVRG,81.98,True,81.33,76.7,74.81,32.8,2.9,False,Fail,6,5.45,False,1.25,84.41
ES,68.74,False,70.86,69.13,67.6,27.6,8.9,False,Filtered (trend template failed),6,2.68,True,0.87,70.57
EXC,46.3,False,48.0,45.65,45.0,12.6,7.9,False,Fail,6,7.66,False,1.14,49.44
EXE,95.67,False,104.93,106.84,104.64,3.9,21.7,False,Filtered (trend template failed),6,2.82,True,0.86,113.92
EXPE,267.95,False,228.73,243.1,231.06,84.2,10.9,False,Fail,6,7.03,True,0.68,241.25
EXPD,147.16,True,146.67,141.85,135.74,42.1,10.8,True,A (3-step valid VCP),6,2.43,True,0.76,146.62
EXR,145.35,False,140.0,136.72,137.35,17.5,3.7,False,Fail,6,14.99,False,0.98,150.9
XOM,143.93,False,154.56,130.25,124.73,44.9,16.1,False,Filtered (trend template failed),6,3.95,False,1.02,171.47
FFIV,308.14,False,286.23,279.84,287.43,37.6,10.2,False,Fail,6,6.24,False,1.09,309.1
FDS,233.4,False,211.04,257.9,292.27,23.4,50.0,False,Fail,6,8.37,False,1.06,230.94
FICO,1087.55,False,1212.99,1509.06,1504.25,17.9,50.7,False,Fail,6,15.71,False,1.09,1094.32
FAST,45.76,False,45.97,43.86,44.55,18.4,8.2,False,Fail,6,2.12,True,0.85,49.17
FRT,112.11,False,106.0,100.22,98.34,27.9,0.0,False,Fail,6,3.7,True,0.89,105.68
FDX,389.08,True,367.01,301.39,282.73,95.4,0.0,False,Fail,6,5.06,False,0.95,377.0
FIS,48.65,False,48.49,58.81,62.4,12.2,39.7,False,Fail,6,7.74,False,1.51,47.01
FITB,50.67,True,48.51,46.08,45.12,57.5,7.2,True,B (2-step valid VCP),6,3.15,True,0.9,50.22
FSLR,191.38,False,205.17,231.89,220.59,56.3,32.8,False,Filtered (trend template failed),6,3.57,True,0.73,203.47
FE,49.72,False,50.13,46.8,45.44,28.9,4.2,False,Filtered (trend template failed),6,6.22,False,1.27,51.91
FISV,64.08,False,59.12,77.39,94.69,18.9,70.5,False,Fail,6,7.4,True,0.89,58.21
F,12.99,False,12.63,12.71,12.32,45.3,10.0,False,Filtered (trend template failed),6,1.37,True,0.56,11.68
FTNT,81.36,False,81.59,81.88,84.07,9.4,25.1,False,Filtered (trend template failed),6,8.39,False,1.14,83.72
FTV,60.7,True,57.3,53.76,52.63,30.8,1.9,False,Fail,6,3.98,True,0.86,60.23
FOXA,65.23,False,59.01,63.74,61.98,39.5,13.9,False,Filtered (trend template failed),6,1.23,False,2.03,59.13
FOX,58.54,False,53.47,57.31,55.94,34.6,13.1,False,Filtered (trend template failed),6,1.69,False,1.74,53.78
BEN,27.4,False,25.33,23.85,23.86,67.0,1.3,False,Fail,6,4.81,False,1.04,23.62
FCX,70.42,True,62.01,51.75,49.65,116.5,0.0,True,B (2-step valid VCP),6,4.27,True,0.81,56.96
GRMN,272.01,False,238.4,223.7,224.4,48.0,0.0,False,Fail,6,7.67,True,0.75,244.78
IT,155.84,False,156.98,211.95,233.56,8.4,65.3,False,Fail,6,9.69,True,0.83,159.14
GE,311.38,False,312.21,305.58,295.94,75.5,9.8,False,Fail,6,7.86,False,1.09,318.0
GEHC,75.38,False,75.68,77.56,76.76,24.9,14.4,False,Filtered (trend template failed),6,3.08,True,0.84,71.94
GEV,997.11,True,866.55,706.51,680.64,219.2,0.0,True,"C (Structure valid, needs tightening)",6,11.51,False,1.16,991.32
GEN,20.11,False,21.12,24.78,26.04,12.4,36.6,False,Fail,6,7.64,False,0.91,19.37
GNRC,215.01,True,208.51,178.46,177.74,101.7,9.1,True,B (2-step valid VCP),6,3.99,True,0.58,199.05
GD,336.61,False,349.04,343.03,334.38,29.0,7.9,False,Fail,6,4.18,False,0.94,349.77
GIS,35.6,False,40.39,43.99,44.98,3.2,35.2,False,Filtered (trend template failed),6,26.5,False,1.08,37.04
GM,82.38,True,77.23,73.5,68.75,88.2,4.4,True,B (2-step valid VCP),6,5.31,False,0.94,76.61
GPC,115.25,False,114.73,124.86,126.16,19.6,22.1,False,Filtered (trend template failed),6,2.16,False,1.25,105.75
GILD,137.93,False,144.07,128.8,124.55,46.1,11.0,False,Filtered (trend template failed),6,1.07,True,0.76,142.09
GPN,72.63,False,71.57,76.78,78.38,15.8,18.6,False,Fail,6,13.42,False,0.92,72.42
GL,151.78,True,142.62,138.9,137.37,30.6,0.0,True,B (2-step valid VCP),6,7.67,False,1.0,147.85
GDDY,84.57,False,86.14,112.79,123.63,6.9,56.0,False,Filtered (trend template failed),6,4.79,True,0.73,83.28
GS,926.39,True,868.11,846.41,813.98,89.5,4.6,True,B (2-step valid VCP),6,4.63,True,0.81,841.84
HAL,36.72,True,36.18,30.22,28.03,94.8,9.2,False,Fail,6,6.23,False,1.16,40.42
HIG,140.21,False,137.95,133.6,131.67,24.8,1.9,False,Filtered (trend template failed),6,2.3,False,0.91,140.4
HAS,97.62,True,95.29,84.73,82.66,96.2,7.2,False,Fail,6,4.73,True,0.69,93.85
HCA,488.82,False,510.69,476.64,452.49,54.9,10.2,False,Fail,6,14.05,False,1.09,507.19
DOC,17.26,False,16.97,17.12,17.08,11.4,7.6,False,Filtered (trend template failed),6,2.25,False,0.95,16.88
HSIC,79.69,False,77.02,73.36,72.4,28.5,4.4,False,Filtered (trend template failed),6,3.17,True,0.79,74.46
HSY,194.07,False,217.01,194.94,190.37,31.1,17.9,False,Fail,6,6.5,False,0.93,210.84
HPE,26.33,False,22.76,22.99,22.52,82.2,0.0,False,Filtered (trend template failed),6,2.04,True,0.87,24.98
HLT,343.24,True,309.7,288.02,283.78,68.1,0.0,True,B (2-step valid VCP),6,1.98,True,0.76,308.26
HD,350.19,False,352.34,364.13,368.43,9.9,16.2,False,Filtered (trend template failed),6,3.27,False,0.9,329.56
HON,234.9,True,234.63,210.91,210.3,31.7,5.3,True,B (2-step valid VCP),6,0.86,False,0.99,236.06
HRL,21.16,False,22.9,23.0,24.07,3.3,29.6,False,Fail,6,9.96,False,1.06,22.75
HST,21.05,True,19.42,17.88,17.34,65.7,0.0,True,B (2-step valid VCP),6,3.29,False,0.96,19.27
HWM,257.73,True,244.75,215.94,206.95,116.3,2.8,False,Fail,6,7.71,True,0.75,258.03
HPQ,19.81,False,18.8,22.27,23.06,10.6,29.9,False,Fail,6,6.41,True,0.82,19.51
HUBB,539.58,True,502.89,464.56,455.04,65.9,1.1,True,B (2-step valid VCP),6,6.64,False,0.94,545.62
HUM,202.88,False,181.15,231.85,238.92,24.6,34.2,False,Fail,6,3.15,True,0.81,198.39
HBAN,16.95,False,16.44,16.56,16.55,32.7,11.1,False,Fail,6,3.35,True,0.79,15.54
HII,395.69,False,411.56,354.57,331.25,87.0,12.8,False,Filtered (trend template failed),6,4.12,True,0.79,411.35
